"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",2624.31923666667,2624.075,2628.46386633529,5885.7,0.95,2145.42,3067.59,NA,NA,NA,NA,NA,NA,NA
"beta[1]",1.73242391066667,1.73149,1.72653714548427,12763,0.95,1.59438,1.87574,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.54461914266667,-2.544755,-2.53550723339991,5883.2,0.95,-2.97875,-2.0811,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-3.18877828866667,-3.18747,-3.17094498506627,5860.8,0.95,-3.60145,-2.77263,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.172174012306667,-0.171919,-0.172682627233508,14213,0.95,-0.226916,-0.117585,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-51.19848348,-51.23695,-51.6140221406093,13956.1,0.95,-64.8212,-38.2014,NA,NA,NA,NA,NA,NA,NA
"sigma",40.3273905,40.31905,40.4365498650165,10988,0.95,37.8049,42.915,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.14641539826,-0.1464555,-0.146319126708831,12357.3,0.95,-0.178434,-0.113467,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.452716894266667,0.452473,0.451179527034532,12763,0.95,0.416643,0.490169,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.334845530333333,-0.334863,-0.333646002362586,5883.2,0.95,-0.391972,-0.273852,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.476100122266667,-0.4759045,-0.473437491330128,5860.8,0.95,-0.537714,-0.413967,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.08898179166,-0.08885015,-0.0892447801320643,14213,0.95,-0.117273,-0.0607693,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.214446759593333,-0.214608,-0.216187212130607,13956.1,0.95,-0.271506,-0.160008,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.521608262733333,0.521501,0.523020276815014,10988,0.95,0.488982,0.555077,NA,NA,NA,NA,NA,NA,NA
"nu",3.07892660666667,3.06162,3.03075978410074,11050.3,0.95,2.58564,3.6156,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.486805025000528,0.485951286249781,0.483978744249642,11104.8,0.95,0.415697681311214,0.560552202880173,NA,NA,NA,NA,NA,NA,NA
